no,tango,kana,en,zh,vi
1343,外れ,はずれ,"Outskirts, blank (ticket)",未中、尽头,"ven, trượt"
1344,範囲,はんい,Range,范围,phạm vi
1345,付近,ふきん,"Near, local",附近、一带,lân cận
1346,縁,ふち,Edge,边、缘、框,"viền, cạnh"
1347,真上,まうえ,Just above,正上方、头顶上,ngay phía trên
1348,真下,ました,Just below,正下方,ngay phía dưới
1349,真ん前,まんまえ,Right in front,正前方,trước mặt
1350,編み物,あみもの,Knitting,编织物品,Đồ đan len
1351,囲碁,いご,Go,围棋,cờ vây
1352,演技,えんぎ,Acting,演技,"diễn xuất, trình diễn"
1353,演劇,えんげき,Theater,演剧、戏剧,kịch
1354,オーケストラ,,Orchestra,管弦乐、管弦乐团,"ban nhạc, dành nhạc"
1355,絵画,かいが,Painting,绘画,"bức họa, bức tranh"
1356,クラシック,,Classical (music),古典的、古典音乐,nhạc cổ điển
1357,稽古,けいこ,Practice,练习、学习,luyện tập
1358,競馬,けいば,Horse race,赛马,đua ngựa
1359,公演,こうえん,Perform,公演,"biểu diễn, công chiếu"
1360,コーラス,,Chorus,合唱,hợp xướng
1361,娯楽,ごらく,Entertainment,娱乐,"trò tiêu khiển, trò giải trí"
1362,コレクション,,Collection,收集,sưu tập
1363,芝居,しばい,Play,戏剧、演技,vở kịch
1364,ジャズ,,Jazz,爵士乐,nhạc jazz
1365,主人公,しゅじんこう,Hero,主人公,nhân vật chính
1366,主役,しゅやく,Lead role,主演、主角,vai chính
1367,上映,じょうえい,"Screen, show",上映,chiếu
1368,将棋,しょうぎ,Shogi chess,将棋,cờ tướng
1369,ショー,,Show,陈列、展览,trình diễn
1370,書籍,しょせき,Book,书籍,sách
1371,随筆,ずいひつ,Essay,随笔、散文,tùy bút
1372,創作,そうさく,Creation,创作,sáng tạo
1373,短編,たんぺん,Short story,短篇,truyện ngắn
1374,手品,てじな,Magic trick,戏法、魔术,trò ảo thuật
1375,バンド,,Band (music),乐队,ban nhạc
1376,悲劇,ひげき,Tragedy,悲剧,bi kịch
1377,名作,めいさく,Masterpiece,名作、优秀作品,"tác phẩm nổi tiếng, kiệt tác"
1378,役,やく,Role,角色,vai
1379,ライブ,,Live,音乐会、演唱会,buổi biểu diễn trực tiếp
1380,暗記,あんき,"Memorize, learn by heart",熟记、背诵,thuộc lòng
1381,言い訳,いいわけ,Excuse,借口、理由,"bào chữa, lấy cớ"
1382,医学,いがく,Medical science,医学,y học
1383,引用,いんよう,Quote,引用,trích dẫn
1384,うわさ,,Rumor,传言、谣言,tin đồn
1385,エピソード,,"Episode, anecdote",轶闻、插话,"câu chuyện, giai đoạn"
1386,演説,えんぜつ,Speech,演讲,diễn thuyết
1387,お世辞,おせじ,"Flattery, compliment",恭维、奉承,nịnh
1388,学問,がくもん,Learning,学问,"học vấn, bằng cấp"
1389,頭文字,かしらもじ,Initials,首字母,ký tự đầu tiên
1390,学科,がっか,Department,学科、专业,khoa
1391,学級,がっきゅう,"Class, grade",学级、班级,trình độ
1392,活字,かつじ,"Typeface, letter",铅字,chữ in
1393,休学,きゅうがく,Take leave from college,休学,nghỉ học
1394,議論,ぎろん,Discussion,议论、争辩,"tranh luận, thảo luận"
1395,苦情,くじょう,Complaint,投诉,"phàn nàn, khiếu nại"
1396,口癖,くちぐせ,Habitual saying,口头禅,"câu cửa miệng, quen mồm"
1397,言語,げんご,Language,语言,ngôn ngữ
1398,原稿,げんこう,"Draft, manuscript",原稿、草稿,bản thảo
1399,口実,こうじつ,Excuse,借口、口实,"viện lý do, lấy lý do"
1400,語学,ごがく,"Languages, linguistics",外语学习、语言学,ngôn ngữ học
1401,五十音,ごじゅうおん,Japanese syllabary,五十音,bảng chữ cái 50 âm tiếng Nhật
1402,言葉遣い,ことばづかい,"Wording, choice of words",说法、措辞,"cách sử dụng từ ngữ, lời ăn tiếng nói"
1403,ことわざ,,Proverb,谚语,tục ngữ
1404,在学,ざいがく,At college,在读,theo học
1405,採点,さいてん,"Score, marks",评分,cho điểm
1406,索引,さくいん,Index,索引,mục lục
1407,下書き,したがき,"First draft, rough draft",草稿,viết nháp
1408,社説,しゃせつ,Editorial,社论,xã luận
1409,塾,じゅく,Cram school,私塾、补习班、学堂,học thêm
1410,ジョーク,,Joke,笑话,đùa
1411,図鑑,ずかん,Picture book,图鉴,sách ảnh
1412,清書,せいしょ,Fair copy,誊清、誊写,sao chép
1413,せりふ,,"Dialogue, lines",台词,lời thoại
1414,宣言,せんげん,Declaration,宣布、宣告,tuyên bố
1415,専攻,せんこう,Specialty,专业,chuyên ngành
1416,退学,たいがく,Drop out (from college),退学,bỏ học
1417,便り,たより,"Message, letter",消息,"thư, tin tức"
1418,単位,たんい,"Unit, credit",学分,tỉn chỉ
1419,注,ちゅう,Notes,注释,ghi chú
1420,ディスカッション,,Discussion,讨论,thảo luận
1421,手書き,てがき,Handwriting,手写,viết tay
1422,哲学,てつがく,Philosophy,哲学,triết học
1423,転校,てんこう,Change school,转校、转学,chuyển trường
1424,答案,とうあん,Exam answer sheet,答卷、答案,phiếu trả lời
1425,登校,とうこう,Attend school,上学,"đến trường, đi học"
1426,投書,とうしょ,Letter,投稿,bài viết
1427,討論,とうろん,"Debate, discuss",讨论,"thảo luận, tranh luận"
1428,早口,はやくち,Talk quickly,语速快,nói nhanh
1429,一言,ひとこと,One word,一句话,một lời
1430,独り言,ひとりごと,Talking to yourself,自言自语,nói một mình
1431,評論,ひょうろん,"Criticism, review",评论,bài phê bình
1432,不平,ふへい,Discontent,不满、牢骚,"bất bình, không thỏa mãn"
1433,振り仮名,ふりがな,"Furigana, phonetic aids for reading kanji",注音假名,phiên âm
1434,母校,ぼこう,Alma mater,母校,trường cũ
1435,本文,ほんぶん,Text,正文,bản chính
1436,見出し,みだし,Headline,标题,"nhan đề, tiêu đề"
1437,模擬試験,もぎしけん,Mock exam,模拟测试,thi thử
1438,文句,もんく,Complaint,抱怨,phàn nàn
1439,訳,やく,Translation,释义,dịch
1440,用語,ようご,(Technical) term,用语,thuật ngữ
1441,要約,ようやく,Summarize,摘要、概括,"tóm lược, khái quát"
1442,落第,らくだい,Failure (in exam),留级、不及格,"lưu ban, học lại"
1443,理系,りけい,Science,理科,ngành khoa học tự nhien
1444,理論,りろん,Theory,理论,"lý luận, lý thuyết"
1445,論文,ろんぶん,"Dissertation, thesis",论文,luận văn
1446,ＩＴ,アイティー,IT,IT,công nghệ thông tin
1447,アプリ,,Application,应用软件、APP,ứng dụng
1448,上書き,うわがき,Overwrite,计算机应用中的数据覆盖,ghi (đĩa)
1449,書き込み,かきこみ,leave a comment,写入、填入,"viết, điền vào"
1450,画像,がぞう,Image,图像、图片,hình ảnh
1451,画面,がめん,Screen,画面,màn hình
1452,削除,さくじょ,Delete,消除、删除,xóa
1453,挿入,そうにゅう,Insert,插入,chèn
1454,転送,てんそう,"Transfer, forward",转发,chuyển tiếp
1455,添付,てんぷ,Attach,添上、附上、添附,đính kèm
1456,入力,にゅうりょく,Input,输入,nhập
1457,変換,へんかん,Convert (hiragana to kanji),转换,thay đổi
1458,遭う,あう,"Meet with, be involved in",遭到、碰到,"gặp, bị"
1459,あきれる,,"Be appalled, disgusted",吃惊、呆若木鸡,kinh ngạc
1460,明ける,あける,Dawn,明、亮,rạng sáng
1461,揚げる,あげる,Deep-fry,炸,chiên
1462,挙げる,あげる,"Cite (an example), arrange",列举、举行,"đưa ra, tiến hành"
1463,憧れる,あこがれる,"Hanker for, admire",憧憬,"ngưỡng mộ, khao khát"
1464,味わう,あじわう,"Taste, savor",品味,thưởng thức
1465,与える,あたえる,"Give, award",给予,"trao, gây ra"
1466,扱う,あつかう,"Deal with, handle",使用、运用、处理,"sử dụng, đề cập"
1467,当てはまる,あてはまる,Apply,完全合适、适合,"áp dụng, phù hợp với"
1468,宛てる,あてる,Address,发往、寄给,gửi đến
1469,暴れる,あばれる,"Run riot, rampage",狂躁、乱闹,"lồng lên, quậy phá"
1470,あふれる,,"Flood, overflow",溢出、满溢,ngập tràn
1471,甘える,あまえる,Act spoiled,撒娇,làm nũng
1472,甘やかす,あまやかす,"Pamper, spoil",骄纵、纵容,"chiều chuộng, nuông chiều"
1473,争う,あらそう,"Fight, quarrel",争斗,"tranh giành, tranh đấu"
1474,改める,あらためる,Change,改变,"sửa đổi, cải thiện"
1475,表す,あらわす,"Express, show",表现、展示,"biểu hiện, cho thấy"
1476,荒れる,あれる,Be rough,起风浪,"động(biển), dữ dội"
1477,言い換える,いいかえる,"Paraphrase, reword",换个说法,diễn đạt lại
1478,抱く,いだく,Have (a dream),抱着、怀有,"ôm ấp, ấp ủ"
1479,痛む,いたむ,Hurt,痛,đau
1480,傷む,いたむ,Damage,坏、腐败,"hỏng, thiu, thối chịu thương tổn"
1481,至る,いたる,"Reach, lead to",达、到,"đạt tới, đến nơi"
1482,威張る,いばる,"Act haughtily, be overbearing",摆架子、逞威风,"khoác lác, kiêu căng"
1483,飢える,うえる,Starve,饥饿,đói
1484,浮かべる,うかべる,"Set afloat, fill (with tears)",漂浮、浮现,nổi lên
1485,受け入れる,うけいれる,Accept,接受、接收,"chấp nhận, tiếp nhận"
1486,受け持つ,うけもつ,Be put in charge of,掌管、负责,"phụ trách, đảm nhận"
1487,失う,うしなう,Lose,失去,mất
1488,薄める,うすめる,Dilute,稀释、弄淡,pha loãng
1489,疑う,うたがう,"Doubt, suspect",怀疑、猜测,nghi ngờ
1490,打ち消す,うちけす,"Contradict, squelch",否定、否认,xóa bỏ
1491,撃つ,うつ,Shoot,打、击,bắn
1492,訴える,うったえる,"Sue, complain",起诉、诉说,"kiện, khiếu nại, kêu, nói"
1493,うつむく,,"Hang your head, be downcast",低头,cúi đầu
1494,映る,うつる,"Be reflected, be shown",反射、映出,chiếu
1495,うなずく,,Nod,点头,gật đầu
1496,奪う,うばう,"Rob, raid",夺走,cướp
1497,産む,うむ,"Lay (eggs), give birth to",分娩、下蛋,"sinh, đẻ"
1498,埋める,うめる,"Bury, fill",埋、挤满,"chôn, lấp đầy"
1499,裏切る,うらぎる,Betray,背叛、辜负,phản bội
1500,占う,うらなう,"Tell the future, predict",占卜、预测,bói
1501,恨む,うらむ,"Regret, resent",痛恨,"ghét, hận"
1502,売り出す,うりだす,"Sell, launch on the market",出售、发售,bán ra
1503,上回る,うわまわる,Exceed,超过,vượt quá
1504,描く,えがく,"Draw, paint",描绘、画,vẽ
1505,得る,える/うる,"Obtain, get",得到,đạt được
1506,追い出す,おいだす,Expel,赶出、逐出,đuổi theo
1507,応じる/応ずる,おうじる/おうずる,Respond,答应、接受,trả lời
1508,終える,おえる,Finish,结束,hoàn thành
1509,覆う,おおう,Cover,蒙上、盖上,"bao phủ, trùm"
1510,オーバーする,,Overrun,超过,quá
1511,拝む,おがむ,Worship,叩拜,"chắp tay cầu khấn, cầu khấn"
1512,補う,おぎなう,"Compensate, make up",填补、弥补,bổ sung
1513,おごる,,"Treat, pay for",请、请客,"chiêu đãi, mời"
1514,収める,おさめる,"Put back, keep in",收纳、整理,"thu cất, chứa"
1515,治める,おさめる,Rule,处理、平定、治理,trị vì
1516,納める,おさめる,Pay,缴纳,"nộp, đóng"
1517,恐れる,おそれる,Fear,害怕、恐惧,sợ
1518,教わる,おそわる,"Be taught, learn",受教、向……学习,được dạy
1519,脅かす,おどかす,Threaten,威胁、吓唬,"đe dọa, dọa"
1520,訪れる,おとずれる,"Visit, come",访问、到来,"thăm, đến"
1521,劣る,おとる,Be inferior,劣、次、不如,kém
1522,驚かす,おどろかす,"Surprise, astonish",惊动、使惊讶,làm kinh ngạc
1523,思い込む,おもいこむ,"Imagine, be under the impression that",深信、确信,nghĩ
1524,及ぼす,およぼす,"Exert, affect",影响到、波及,ảnh hưởng đến
1525,抱える,かかえる,"Hold, have",抱、负担,"ôm, giữ"
1526,限る,かぎる,Be limited to,限定、限于,giới hạn
1527,欠ける,かける,"Be chipped, lack",破缺、缺少、欠缺,thiếu
1528,かじる,,"Bite, crunch",啃、咬,cắn
1529,偏る,かたよる,Become unbalanced,偏于、不公平、不平衡,"lệch, không cân bằng"
1530,語る,かたる,"Talk, tell",谈、讲、讲述,kể chuyện
1531,担ぐ,かつぐ,"Carry, shoulder",担,vác
1532,かなう,,Come true,实现,trở thành hiện thực
1533,かなえる,,"Realize, make come true",使……实现,làm / khiến...thành hiện thực
1534,兼ねる,かねる,Have two functions,兼任、兼备,"kết hợp, kiêm nhiệm"
1535,かぶせる,,"Cover, wrap in",蒙上、盖上,"che phủ, bao phủ"
1536,刻む,きざむ,"Carve, chop",切碎、剁碎,"thái, đục chạm"
1537,嫌う,きらう,"Hate, dislike",讨厌、憎恶,ghét
1538,禁じる/禁ずる,きんじる/きんずる,"Forbid, prohibit",禁止,"cấm, nghiêm cấm"
1539,食う,くう,"Eat, have a meal",吃,ăn
1540,区切る,くぎる,"Break up, divide",分成段落、隔开,phân chia
1541,砕く,くだく,Crush,打碎、砸碎,"nghiền nhỏ, đập nhỏ"
1542,くたびれる,,Be tired,累、疲劳,"tả tơi, mệt rã rời"
1543,下る,くだる,Go down,下去,xuống
1544,くっつける,,Stick,把……粘上、使靠近,"dính, dán, ghép"
1545,組み合わせる,くみあわせる,Combine,编在一起、组合,"kết hợp, kiêm nhiệm"
1546,組み立てる,くみたてる,Assemble,装配、组装,lắp ghép
1547,組む,くむ,"Cross, fold",交叉,khoanh
1548,狂う,くるう,"Go mad with, go haywire",发狂、故障,"điên, hỏng"
1549,くわえる,,Hold in mouth,叼,thêm
1550,加わる,くわわる,"Be added, increase",加入、增加,"gia nhập, tăng"
1551,恋する,こいする,Fall in love,恋爱、爱上,yêu
1552,超える,こえる,Exceed,超过,vượt quá
1553,焦がす,こがす,"Scorch, burn",烧糊,làm cháy
1554,凍える,こごえる,"Be chilled, freeze",冻僵,"đông cứng, tê cóng, đóng băng"
1555,越す,こす,Move (house),搬家,chuyển nhà
1556,こする,,Rub,擦、搓、摩擦、揉,dụi
1557,言づける,ことづける,Send word,托人带口信,nói
1558,異なる,ことなる,Differ,不同、不一样,khác nhau
1559,好む,このむ,"Prefer, like",喜欢,yêu thích
1560,込める,こめる,Be infused with,装填、包含,"gửi vào, gồm, với"
1561,栄える,さかえる,Flourish,兴旺、繁荣昌盛,phồn thính
1562,逆らう,さからう,"Go against, defy",逆、反、违背,"đi ngược, chống lại"
1563,裂く,さく,"Tear, break",撕开、切开,xé
1564,探る,さぐる,"Explore, go through",探、摸、刺探、探查,"tìm kếm, lục (túi)"
1565,避ける,さける,Avoid,避开、避免,tránh
1566,支える,ささえる,Support,支撑、支持,"nâng đỡ, hỗ trợ"
1567,ささやく,,Whisper,低声私语、喃喃细语,thì thầm
1568,刺さる,ささる,"Stick, stab",扎、扎进、刺入,"bị đâm, hóc, mắc"
1569,挿す,さす,"Insert, put in",插入,cắm
1570,さびる,,Rust,生锈、长锈,gỉ rét
1571,サボる,,"Skip, miss",旷课、逃学,"bỏ tiết, trốn học"
1572,去る,さる,Leave,离开,rời
1573,仕上げる,しあげる,"Finish, polish off",完成,hoàn thành
1574,茂る,しげる,"Prosper, grow well",繁茂,"mọc xanh tốt, um tùm"
1575,静まる,しずまる,Quieten down,平静下来、静下来,"yên tĩnh, an tĩnh"
1576,従う,したがう,"Obey, follow",服从、跟随,làm theo
1577,しびれる,,Go numb,麻木,tê chân
1578,絞る,しぼる,"Squeeze, restrict",拧、挤、聚集,"vắt, bóp"
1579,示す,しめす,Indicate,表示、出示,chỉ
1580,占める,しめる,"Occupy, take up, account for",占有、占据、占领,chiếm
1581,湿る,しめる,Be damp,潮湿,ẩm ướt
1582,しゃがむ,,"Squat, crouch",蹲下,ngồi xổm
1583,生じる/生ずる,しょうじる/しょうずる,Arise,生长、产生,xảy ra
1584,透き通る,すきとおる,Be transparent,透明、清澈,"trong suốt, trong vắt"
1585,救う,すくう,"Save, rescue",搭救、拯救,cứu
1586,優れる,すぐれる,Be excellent,优秀,vượt trội
1587,涼む,すずむ,Cool yourself down,乘凉、纳凉,tránh nóng
1588,済ます/済ませる,すます/すませる,"Complete, settle",完成、解决,"hoàn thành, giải quyết"
1589,澄む,すむ,Be clear,清新、清澈,trong lành
1590,刷る,する,Print,印刷,in
1591,擦れ違う,すれちがう,"Meet in the street, bump into",擦肩而过,đi lướt qua nhau
1592,ずれる,,"Diverge, be out, be off",错离、偏离,"trượt, lệch"
1593,背負う,せおう,Carry on your back,背,mang vác
1594,接する,せっする,"Touch, interact",相邻、接触,"tiếp giáp,tiếp xúc"
1595,迫る,せまる,"Approach, urge",迫近、临近、迫使,"đến gần, thúc giục"
1596,責める,せめる,Blame,责备,"kết tội, đổ lỗi"
1597,攻める,せめる,Attack,攻打、攻击,tấn công
1598,沿う,そう,Go alongside,沿着,dọc theo
1599,添える,そえる,Attach,添加、伴随、附上,đính thêm
1600,属する,ぞくする,Belong to,属于、归于,thuộc
1601,注ぐ,そそぐ,"Flow into, pour",流入、注入、灌入,"rót, đổ"
1602,備え付ける,そなえつける,"Be equipped with, have",设置、安置,trang bị
1603,染まる,そまる,"Dye, stain",染、染上,"biến màu, nhuộm màu"
1604,対する,たいする,"In relation to, to (in a ratio)",对、对于、比,đối với
1605,高める,たかめる,Increase,提高、抬高,nâng cao
1606,蓄える,たくわえる,Store,储存、储备,tích trữ
1607,立ち直る,たちなおる,Recover,恢复,"khôi phục, lấy lại"
1608,たつ①,,"Elapse, pass",经过、过去,trôi qua
1609,たつ②,,Leave,出发、启程,rời khỏi
1610,達する,たっする,Reach,到达、完成,"đạt tới, lên"
1611,立て替える,たてかえる,Pay on behalf of,垫付、代付,"tạm ứng trước, thanh toán hộ"
1612,立て直す,たてなおす,"Rebuild, turn around",重建、重整,"cải cách, tái tạo"
1613,例える,たとえる,Compare,比喻、打比方,"ví von, so sánh"
1614,ダブる,,"Double, duplicate",重、重复,sao chép
1615,だます,,"Fool, cheat, trick",骗、欺骗,lừa
1616,試す,ためす,Try,试验、尝试,thử
1617,保つ,たもつ,"Keep, store, retain",保持、维持,"giữ, duy trì"
1618,頼る,たよる,Rely on,依靠,"nhờ cậy, trông cậy"
1619,誓う,ちかう,"Swear, vow",宣誓、发誓,thề
1620,近づける,ちかづける,"Approach, bring up close",接近、靠近,áp sát
1621,ちぎる,,Tear,撕碎、撕扯,"bẻ nhỏ, xé nhỏ"
1622,縮む,ちぢむ,Shrink,缩、缩小,co lại
1623,縮れる,ちぢれる,Be curled,卷曲、起皱,"nhàu nát, nhăn nhúm, bù xù"
1624,散らかす,ちらかす,Mess up,弄得乱七八糟,bày bừa lộn xộn
1625,散らす,ちらす,"Scatter, disperse",弄散、散开,làm rụng tơi tả
1626,付き添う,つきそう,"Accompany, wait on",照顾、照料,"hộ tống, đi cùng"
1627,就く,つく,Take (a job),从事,"làm, có"
1628,突く,つく,"Poke, stab",扎、刺,"chọc, đâm"
1629,つぐ,,Pour out,注入、倒入,"rót, đổ"
1630,次ぐ,つぐ,"Be next, follow",接着、次于,"đứng sau, tiếp theo"
1631,尽くす,つくす,"Serve, give (your best)",尽、尽力、贡献力量,"làm hết sức, dốc sức"
1632,付け加える,つけくわえる,Add,附加、补充,thêm
1633,漬ける,つける,Pickle,淹、泡,"Tẩm, ướp"
1634,突っ込む,つっこむ,"Thrust, stick into",插入、闯入,"cho vào, nhét vào"
1635,努める,つとめる,"Strive, do your best",尽力、努力,cố gắng
1636,務める,つとめる,Serve,担任、充当,làm
1637,つながる,,"Connect, lead to",连续、关系,"nối, dẫn tới"
1638,つなぐ,,"Connect, tie",连上、牵上,nắm
1639,潰す,つぶす,Crush,压坏、使破产,"làm bẹp, nghiền nát"
1640,つぶる,,Shut (eyes),闭眼,nhắm
1641,つまずく,,"Stumble, suffer a setback",绊倒、受挫,"vấp, thất bại"
1642,詰まる,つまる,"Fill up, become clogged",塞满、堵塞,"kín mít, nghẽn, tắc"
1643,強める,つよめる,Step up,加强、增强,tăng cao
1644,つるす,,Hang,挂、吊、悬,treo
1645,適する,てきする,Be suitable,适合,thích hợp
1646,照らす,てらす,"Illuminate, light",照耀、照亮,chiếu sáng
1647,問い合わせる,といあわせる,Inquire,询问、打听,hỏi
1648,通す,とおす,"Pass through, open to traffic",穿过、开通,"luồn qua, đi qua"
1649,通りかかる,とおりかかる,Happen to pass,路过,đi ngang qua
1650,通り越す,とおりこす,"Pass, go beyond",超过、超越,vượt qua
1651,通り過ぎる,とおりすぎる,Pass through,过去、经过,đi qua
1652,とがる,,Be pointed,尖,nhọn
1653,解く,とく,"Undo, solve",解开、解答,"tháo, cởi, giải"
1654,溶け込む,とけこむ,"Melt into, dissolve in",溶化、融合,"tan vào, hòa lẫn vào"
1655,整う,ととのう,"Be equipped with, be ready",整齐、完整,trang bị
1656,とどまる,,Stay,停留、止于,ở lại
1657,どなる,,"Shout, bawl",咆哮、嚷、骂,gào lên
1658,跳ぶ,とぶ,Jump,跳跃,nhảy
1659,伴う,ともなう,"Accompany, go with, entail",带、伴随,"cùng với, đi kèm"
1660,捕らえる,とらえる,"Capture, grasp",逮捕、抓住,"bắt giữ, nắm giữ"
1661,取り扱う,とりあつかう,"Deal with, handle",对待,"đối xử, dùng, sử dụng"
1662,取り入れる/採り入れる,とりいれる,"Adopt, accept",采用,chấp thuận
1663,取り付ける,とりつける,Install,安装,lắp đặt
1664,取り戻す,とりもどす,"Regain, recover",恢复、收回,lấy lại
1665,採る,とる,"Take, hire",采、采用,"lấy, nhận"
1666,長引く,ながびく,"Prolong, extend",延长、拖延,kéo dài
1667,眺める,ながめる,"Watch, look at",遥望、瞭望,nhìn ngắm
1668,慰める,なぐさめる,Comfort,安慰,an ủi
1669,亡くす,なくす,Lose (someone),死、丧,mất
1670,なでる,,Stroke,抚摸,xoa
1671,怠ける,なまける,Idle around,偷懒、懈怠,"lười nhác, lười biếng"
1672,なめる,,Lick,舔,liếm
1673,鳴らす,ならす,"Ring, sound",鸣响,bấm (chuông)
1674,慣らす,ならす,"Familiarize, inure",使习惯,tập thích nghi
1675,成り立つ,なりたつ,"Be completed, comprise",走上正轨、组成,"tiến triển, hình thành, thành lập"
1676,成る,なる,Consist,组成,tạo thành
1677,匂う,におう,Give off a smell,有香味,tỏa mùi thơm
1678,臭う,におう,"Give off a bad smell, stink",有臭味,"có mùi, bốc mùi"
1679,逃がす,にがす,"Release, let go",放跑、没有抓住,"thả, để vuột mất"
1680,憎む,にくむ,Hate,厌恶、憎恶,ghét
1681,濁る,にごる,Become muddy,浑浊,đục
1682,にらむ,,"Stare, glower at",盯、瞪,lườm
1683,寝転ぶ,ねころぶ,Lie down,横卧,ngả lưng
1684,ねじる,,"Twist, turn",拧、扭动,vặn
1685,熱する,ねっする,Heat up,加热,làm nóng
1686,狙う,ねらう,"Aim, be after",寻找……的机会、瞄准,nhắm
1687,練る,ねる,"Knead, work out",掺和、推敲,"nhào, lập"
1688,除く,のぞく,"Except, excluding",去掉、除了,"loại bỏ, ngoại trừ"
1689,のぞく,,Peep,窥视、窥探,"liếc nhìn, nhìn"
1690,望む,のぞむ,"View, hope for",遥望、期望,"nhìn, mong ước"
1691,述べる,のべる,"State, say",陈述、讲述,"trình bày, nói"
1692,上る,のぼる,"Go uphill, reach",攀登、高达,"leo lên, lên tới"
1693,乗り込む,のりこむ,"Get in, board",搭乘、乘坐,lên tàu
1694,載る,のる,Be carried (text),登载,đăng
1695,剥がす,はがす,Peel,剥掉、剥下,"bóc, dỡ"
1696,励ます,はげます,"Encourage, cheer up",鼓励、激励,"động viên, khích lệ"
1697,挟まる,はさまる,Get caught,夹、卡,kẹp
1698,果たす,はたす,Fulfil,实现、完成,hoàn thành
1699,罰する,ばっする,Punish,处罚,phạt
1700,放す,はなす,Let go,放、放掉,thả
1701,省く,はぶく,"Omit, skip, save",省略、节省,"loại bỏ, bớt, bỏ qua, tiết kiệm"
1702,生やす,はやす,Grow (beard),蓄、生长,"để(râu), nuôi"
1703,払い込む,はらいこむ,Pay (in),缴纳、交纳,"nộp tiền, đóng tiền"
1704,張り切る,はりきる,Be in high spirits,干劲十足,hăng hái
1705,張る,はる,Put up (tent),搭、支起,dựng (lều)
1706,反する,はんする,"Oppose, run counter to",违反、相反,trái ngược
1707,控える,ひかえる,"Hold off from, be in the offing",控制、面临,"kiêng, cận kề"
1708,引き起こす,ひきおこす,Cause,引起,"gây ra, đẫn đến"
1709,引き落とす,ひきおとす,Debit,划账、扣款,"rút tiền, trừ tiền"
1710,引き返す,ひきかえす,Turn back,返回、折返,quay trở lại
1711,引き止める,ひきとめる,Hold back,挽留,"giữ lại, níu"
1712,引っかかる,ひっかかる,"Catch on, be caught by",挂上、受骗,"vướng, mắc"
1713,引っかける,ひっかける,Hang on,披上,"treo, móc"
1714,引っ込む,ひっこむ,"Retract, withdraw",憋、待,"hóp lại, lui vào"
1715,ひねる,,"Twist, turn",拧,vặn
1716,響く,ひびく,Resound,响、回响,"vang, truyền"
1717,広まる,ひろまる,Spread,传播、蔓延,lan rộng
1718,深める,ふかめる,Deepen,加深、加强,"khắc sâu, làm sâu sắc thêm"
1719,含む,ふくむ,"Include, contain",含、含有,chứa
1720,含める,ふくめる,Include,包括,bao gồm
1721,膨らます,ふくらます,Inflate,鼓,"thổi phồng, phồng"
1722,ふざける,,"Fool around, joke",开玩笑、打闹,đùa giỡn
1723,ぶつ,,"Beat, hit",打、敲打,đánh
1724,振り返る,ふりかえる,Look back,回头、回顾,nhìn lại
1725,振り込む,ふりこむ,Transfer,转账、转入,chuyển khoản
1726,触れる,ふれる,Touch,触碰、提到,chạm
1727,へこむ,,Dent,凹、凹陷,lõm
1728,隔てる,へだてる,Separate,隔开、间隔,"phân, ngăn cách"
1729,放る,ほうる,Throw,扔、抛,ném
1730,ほどく,,"Unwind, undo",解开,"cởi, tháo"
1731,ほほえむ,,"Smile, beam",微笑,mỉm cười
1732,彫る,ほる,Carve,雕刻,"chạm, khắc"
1733,任せる/任す,まかせる/まかす,"Leave, entrust to (someone)",委托、托付,phó thác
1734,巻く,まく,"Wind, roll",卷、缠、围,"quàng, cuốn"
1735,まく①,,Sow,播、播撒,"gieo (hạt), rắc"
1736,まく②,,Sprinkle,撒,phun
1737,混じる,まじる,Mix,混合、掺杂,lẫn
1738,増す,ます,"Increase, swell",增多,"dâng lên, tăng cao"
1739,マスターする,,Master,掌握,nắm vững
1740,招く,まねく,Invite,邀请、引起,"mời, gây (hiểu lầm)"
1741,迷う,まよう,"Get lost, be unsure about",迷、迷惑,"lạc, phân vân"
1742,見上げる,みあげる,Look up,仰望、抬头看,nhìn lên
1743,見下ろす,みおろす,Look down on,俯视、往下看,nhìn xuống
1744,見掛ける,みかける,See by chance,看到、看见,"nhìn thấy, bắt gặp"
1745,見詰める,みつめる,"Stare, look hard at",注视、凝视,nhìn chăm chú
1746,認める,みとめる,"Admit, recognize",承认、赏识,"thừa nhận, chấp nhận"
1747,見慣れる,みなれる,Be familiar with,看惯、熟悉,nhìn quen thuộc
1748,実る,みのる,"Ripen, grow, bear fruit",成熟、有成果,"ra quả, thu kết quả"
1749,見舞う,みまう,"Visit, afflict",探望、遭受,"thăm (bệnh), đến thăm"
1750,見回す,みまわす,Look around,环视、张望,nhìn quanh
1751,命じる/命ずる,めいじる/めいずる,"Tell, order",任命、命令,ra lệnh
1752,恵まれる,めぐまれる,Be blessed,受到恩惠,được (trời) ban cho
1753,目覚める,めざめる,"Wake up, awaken",睡醒、觉醒,"tỉnh dậy, thức giấc, thức tỉnh"
1754,面する,めんする,"Face, be facing",面对、面临,"giáp với, sát"
1755,もうかる,,Make money,赚钱,thu lời
1756,潜る,もぐる,Dive,潜水、潜入,lặn
1757,用いる,もちいる,Use,使用、采用,"sử dụng, đề cập"
1758,もてる,,Be liked,受欢迎,thu hút
